# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 29 05:24:22 2022
#
# User preference: *
#
# CONSTRAINT:  order by pl_insol desc
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
#
# pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim
3.10763873,0.00001440,-0.00001440,0,0.040900,,,0,,,,,,,,,58192.75,48504.39,-13917.83,0
3.10763873,0.00001440,-0.00001440,0,0.040900,,,0,,,,,,,,,58192.75,48504.39,-13917.83,0
3.10763873,0.00001440,-0.00001440,0,0.040900,,,0,,,,,,,,,58192.75,48504.39,-13917.83,0
1.48112350,0.00000110,-0.00000110,0,0.034620,0.001100,-0.000930,0,1.891,0.061,-0.053,0,2.88000,0.84000,-0.84000,0,44900.00,8100.00,-7200.00,0
1.76358754,0.00000004,-0.00000004,0,0.038600,,,0,,,,,,,,,37958.27,32770.23,-28302.96,0
1.76358757,0.00000003,-0.00000003,0,0.038600,,,0,,,,,,,,,37958.27,44636.82,-23093.53,0
1.76358757,0.00000003,-0.00000003,0,0.038600,,,0,,,,,,,,,37958.27,44636.82,-23093.53,0
1.76358757,0.00000003,-0.00000003,0,0.038600,,,0,,,,,,,,,37958.27,44636.82,-23093.53,0
,,,,,,,,1.573,0.149,-0.133,0,,,,,25339.90,3035.30,-2595.94,0
0.69297846,0.00000149,-0.00000149,0,0.016500,,,0,,,,,,,,,24240.83,13955.90,-15541.42,0
7.01062745,0.00001202,-0.00001202,0,0.070300,,,0,,,,,,,,,19697.21,16417.88,-4710.93,0
7.01062745,0.00001202,-0.00001202,0,0.070300,,,0,,,,,,,,,19697.21,16417.88,-4710.93,0
7.01062745,0.00001202,-0.00001202,0,0.070300,,,0,,,,,,,,,19697.21,16417.88,-4710.93,0
1.90261000,0.00001000,-0.00001000,0,,,,,,,,,,,,,19308.80,,,
0.67249000,0.00002000,-0.00002000,0,,,,,,,,,,,,,14429.00,,,
1.47532322,0.00000439,-0.00000439,0,0.030900,,,0,,,,,,,,,13331.51,4802.54,-7977.74,0
1.44259224,0.00000219,-0.00000219,0,0.028400,,,0,,,,,,,,,12557.23,14996.17,-7298.43,0
1.44259224,0.00000219,-0.00000219,0,0.028400,,,0,,,,,,,,,12557.23,14996.17,-7298.43,0
